date,open,high,low,close,volume,change,pct_chg,amplitude,close_5_sma,close_10_sma,close_15_sma,close_20_sma,close_25_sma,close_30_sma,close_35_sma,close_40_sma,close_45_sma,close_50_sma,close_60_sma,close_200_sma,close_12_ema,close_26_ema,macd,macds,macdh,rsi_6,rsi_12,rsi_24,kdjk,kdjd,kdjj,boll,boll_ub,boll_lb,volume_5_sma,volume_10_sma
2020-09-22,0.85000000,7.00000000,0.85000000,5.31930000,166715315.42381001,,,723.52941176,5.31930000,5.31930000,5.31930000,5.31930000,5.31930000,5.31930000,5.31930000,5.31930000,5.31930000,5.31930000,5.31930000,5.31930000,5.31930000,5.31930000,0.00000000,0.00000000,0.00000000,,,,57.55718157,52.51906052,67.63342367,5.31930000,,,166715315.42381001,166715315.42381001
2020-09-23,5.32790000,5.36000000,3.40000000,3.53500000,53155220.86928200,-1.78430000,-33.54388735,36.78747724,4.42715000,4.42715000,4.42715000,4.42715000,4.42715000,4.42715000,4.42715000,4.42715000,4.42715000,4.42715000,4.42715000,4.42715000,4.35280417,4.39283654,-0.04003237,-0.02224021,-0.01779217,0.00000000,0.00000000,0.00000000,52.92429991,52.65414032,53.46461909,4.42715000,6.95053126,1.90376874,109935268.14654601,109935268.14654601
2020-09-24,3.53050000,4.88730000,3.40330000,4.64110000,28912533.31870800,1.10610000,31.28995757,42.03370627,4.49846667,4.49846667,4.49846667,4.49846667,4.49846667,4.49846667,4.49846667,4.49846667,4.49846667,4.49846667,4.49846667,4.49846667,4.46532610,4.48203519,-0.01670909,-0.01997336,0.00326426,42.65687970,40.34345983,39.27836379,55.83083409,53.71303824,60.06642578,4.49846667,6.29978821,2.69714513,82927689.87060000,82927689.87060000
2020-09-25,4.63660000,5.02340000,4.20010000,4.71340000,17910676.09614700,0.07230000,1.55782034,17.75654574,4.55220000,4.55220000,4.55220000,4.55220000,4.55220000,4.55220000,4.55220000,4.55220000,4.55220000,4.55220000,4.55220000,4.55220000,4.54363333,4.54671468,-0.00308135,-0.01425113,0.01116978,44.51341094,42.01165298,40.86268167,58.16039346,55.19548998,64.09020041,4.55220000,6.03859470,3.06580530,66673436.42698675,66673436.42698675
2020-09-26,4.71640000,4.82000000,4.32940000,4.52000000,8304263.78359900,-0.19340000,-4.10319515,10.40200153,4.54576000,4.54576000,4.54576000,4.54576000,4.54576000,4.54576000,4.54576000,4.54576000,4.54576000,4.54576000,4.54576000,4.54576000,4.53721224,4.54051944,-0.00330719,-0.01099556,0.00768836,40.32285507,38.84210208,38.08874167,58.66519455,56.35205817,63.29146732,4.54576000,5.83333771,3.25818229,54999601.89830921,54999601.89830921
2020-09-27,4.52140000,4.71340000,4.10680000,4.64840000,6626177.40545900,0.12840000,2.84070796,13.41619852,4.41158000,4.56286667,4.56286667,4.56286667,4.56286667,4.56286667,4.56286667,4.56286667,4.56286667,4.56286667,4.56286667,4.56286667,4.56423672,4.56212705,0.00210966,-0.00744331,0.00955298,44.48645973,42.01074019,40.86956399,59.69766358,57.46725997,64.15847079,4.56286667,5.71755641,3.40817692,22981774.29463900,46937364.48283417
2020-09-28,4.64850000,4.70500000,4.16670000,4.20210000,5281810.91244600,-0.44630000,-9.60115308,11.58007960,4.54500000,4.51132857,4.51132857,4.51132857,4.51132857,4.51132857,4.51132857,4.51132857,4.51132857,4.51132857,4.51132857,4.51132857,4.48342717,4.49809811,-0.01467093,-0.00927243,-0.00539850,34.45870846,35.11258023,35.14420638,57.96700607,57.63384201,58.63333420,4.51132857,5.60011838,3.42253876,13407092.30327180,40986571.11563586
2020-09-29,4.19990000,4.28990000,3.96070000,4.13940000,4361852.97110400,-0.06270000,-1.49211109,7.83828186,4.44466000,4.46483750,4.46483750,4.46483750,4.46483750,4.46483750,4.46483750,4.46483750,4.46483750,4.46483750,4.46483750,4.46483750,4.41163401,4.44030295,-0.02866895,-0.01393378,-0.01473517,33.19717511,34.25065223,34.43699072,56.47339700,57.24702700,54.92613699,4.46483750,5.50660369,3.42307131,8496956.23375100,36408481.34756938
2020-09-30,4.14290000,4.41100000,3.99580000,4.32930000,3839122.43215200,0.18990000,4.58762139,10.02196529,4.36784000,4.44977778,4.44977778,4.44977778,4.44977778,4.44977778,4.44977778,4.44977778,4.44977778,4.44977778,4.44977778,4.44977778,4.39534541,4.42384988,-0.02850447,-0.01729968,-0.01120479,41.04196652,39.18326823,38.35730236,56.50692591,57.00032664,55.52012446,4.44977778,5.42844106,3.47111450,5682645.50095200,32789663.69030078
2020-10-01,4.32930000,4.53000000,4.01400000,4.15000000,6232982.47650600,-0.17930000,-4.14154713,11.91878595,4.29384000,4.41980000,4.41980000,4.41980000,4.41980000,4.41980000,4.41980000,4.41980000,4.41980000,4.41980000,4.41980000,4.41980000,4.34885255,4.38606126,-0.03720871,-0.02176046,-0.01544825,36.22247457,36.37263301,36.22332988,50.42638598,54.80901309,41.66113177,4.41980000,5.36177044,3.47782956,5268389.23953340,30133995.56892130
2020-10-02,4.14220000,4.21980000,3.63320000,3.91150000,7189956.87541700,-0.23850000,-5.74698795,14.16155666,4.14646000,4.27902000,4.37359091,4.37359091,4.37359091,4.37359091,4.37359091,4.37359091,4.37359091,4.37359091,4.37359091,4.37359091,4.26882758,4.32451052,-0.05568294,-0.02918250,-0.02650043,30.50467597,32.94360091,33.62666416,44.07373534,51.23058717,29.76003167,4.37359091,5.31832886,3.42885296,5381145.13352500,14181459.71408200
2020-10-03,3.91560000,4.19000000,3.86960000,4.01680000,2729615.96465700,0.10530000,2.69206187,8.18265400,4.10940000,4.32720000,4.34385833,4.34385833,4.34385833,4.34385833,4.34385833,4.34385833,4.34385833,4.34385833,4.34385833,4.34385833,4.22401790,4.28670343,-0.06268553,-0.03637755,-0.02630798,35.86814496,35.85619573,35.74860669,38.58020758,47.01379397,21.71303479,4.34385833,5.26788429,3.41983237,4870706.14396720,9138899.22361950
2020-10-04,4.02020000,4.07980000,3.83340000,3.96400000,2483672.14201200,-0.05280000,-1.31447919,6.12904831,4.07432000,4.25949000,4.31463846,4.31463846,4.31463846,4.31463846,4.31463846,4.31463846,4.31463846,4.31463846,4.31463846,4.31463846,4.17886892,4.24889878,-0.07002987,-0.04349955,-0.02653032,34.27640453,35.02404825,35.16046290,35.01122928,43.01293907,19.00780968,4.31463846,5.22407214,3.40520478,4495069.97814880,6496013.10594990
2020-10-05,3.95820000,4.04560000,3.87000000,3.98130000,1883990.19066800,0.01730000,0.43642785,4.43635996,4.00472000,4.18628000,4.29082857,4.29082857,4.29082857,4.29082857,4.29082857,4.29082857,4.29082857,4.29082857,4.29082857,4.29082857,4.14522924,4.21884425,-0.07361502,-0.04979973,-0.02381529,35.40351285,35.55861470,35.52314309,34.08265745,40.03617853,22.17561528,4.29082857,5.18256614,3.39909100,4104043.52985200,4893344.51540200
2020-10-06,3.99490000,4.00000000,3.50000000,3.54240000,3553458.05934700,-0.43890000,-11.02403737,12.51595785,3.88320000,4.08852000,4.24093333,4.24093333,4.24093333,4.24093333,4.24093333,4.24093333,4.24093333,4.24093333,4.24093333,4.24093333,4.04424502,4.14566956,-0.10142453,-0.06050121,-0.04092332,23.25980818,28.96367595,30.94143637,23.89466237,34.65567314,2.37264081,4.24093333,5.18314789,3.29871878,3568138.64642020,4418263.94297680
2020-10-07,3.54010000,3.54620000,3.20700000,3.44200000,3329160.07209500,-0.10040000,-2.83423668,9.58165024,3.78930000,3.96788000,4.11578000,4.19100000,4.19100000,4.19100000,4.19100000,4.19100000,4.19100000,4.19100000,4.19100000,4.19100000,3.94471928,4.07205994,-0.12734066,-0.07425627,-0.05308438,21.25819310,27.68244599,30.01729380,21.85066178,30.38733602,4.77731330,4.19100000,5.18506103,3.19693897,2795979.28575580,4088562.20964040
