date,open,high,low,close,volume,change,pct_chg,amplitude,close_5_sma,close_10_sma,close_15_sma,close_20_sma,close_25_sma,close_30_sma,close_35_sma,close_40_sma,close_45_sma,close_50_sma,close_60_sma,close_200_sma,close_12_ema,close_26_ema,macd,macds,macdh,rsi_6,rsi_12,rsi_24,kdjk,kdjd,kdjj,boll,boll_ub,boll_lb,volume_5_sma,volume_10_sma
2017-11-06,1.50000000,1.79900000,0.50000000,1.57100000,192128.33554900,,,86.60000000,1.57100000,1.57100000,1.57100000,1.57100000,1.57100000,1.57100000,1.57100000,1.57100000,1.57100000,1.57100000,1.57100000,1.57100000,1.57100000,1.57100000,0.00000000,0.00000000,0.00000000,,,,60.81601232,53.60533744,75.23736207,1.57100000,,,192128.33554900,192128.33554900
2017-11-07,1.57100000,1.80000000,1.53890000,1.80000000,224771.73096900,0.22900000,14.57670274,16.61998727,1.68550000,1.68550000,1.68550000,1.68550000,1.68550000,1.68550000,1.68550000,1.68550000,1.68550000,1.68550000,1.68550000,1.68550000,1.69504167,1.68990385,0.00513782,0.00285434,0.00228348,100.00000000,100.00000000,100.00000000,73.87734154,60.36267214,100.90668035,1.68550000,2.00935491,1.36164509,208450.03325900,208450.03325900
2017-11-08,1.79010000,1.99000000,1.74790000,1.98890000,661188.79151200,0.18890000,10.49444444,13.52438411,1.78663333,1.78663333,1.78663333,1.78663333,1.78663333,1.78663333,1.78663333,1.78663333,1.78663333,1.78663333,1.78663333,1.78663333,1.80973464,1.79733026,0.01240438,0.00676829,0.00563609,100.00000000,100.00000000,100.00000000,82.56028586,67.76187671,112.15710416,1.78663333,2.20517415,1.36809252,359362.95267667,359362.95267667
2017-11-09,1.97810000,2.19970000,1.90000000,1.99000000,585812.82570400,0.00110000,0.05530695,15.15090238,1.83747500,1.83747500,1.83747500,1.83747500,1.83747500,1.83747500,1.83747500,1.83747500,1.83747500,1.83747500,1.83747500,1.83747500,1.86663737,1.85119230,0.01544507,0.00970758,0.00573749,100.00000000,100.00000000,100.00000000,84.26103347,73.26159563,106.25990914,1.83747500,2.23514607,1.43980393,415975.42093350,415975.42093350
2017-11-10,1.99000000,2.02000000,1.60190000,1.71330000,885876.86520000,-0.27670000,-13.90452261,21.01005025,1.81264000,1.81264000,1.81264000,1.81264000,1.81264000,1.81264000,1.81264000,1.81264000,1.81264000,1.81264000,1.81264000,1.81264000,1.82497616,1.81921451,0.00576165,0.00853376,-0.00277211,48.88424394,54.84845629,57.61281205,79.96841740,75.49720289,88.91084643,1.81264000,2.17449944,1.45078056,509955.70978680,509955.70978680
2017-11-11,1.79000000,1.92500000,1.58000000,1.65500000,452345.77016900,-0.05830000,-3.40278994,19.27374302,1.82944000,1.78636667,1.78636667,1.78636667,1.78636667,1.78636667,1.78636667,1.78636667,1.78636667,1.78636667,1.78636667,1.78636667,1.78366301,1.78632365,-0.00266064,0.00549945,-0.00816009,43.28952526,49.69140085,52.70147047,75.96333434,75.65258004,76.58484293,1.78636667,2.13467790,1.43805543,561999.19671080,500354.05318383
2017-11-12,1.65670000,1.70000000,1.34000000,1.49000000,704902.98963900,-0.16500000,-9.96978852,21.72994507,1.76744000,1.74402857,1.74402857,1.74402857,1.74402857,1.74402857,1.74402857,1.74402857,1.74402857,1.74402857,1.74402857,1.74402857,1.71813313,1.73362403,-0.01549089,0.00018735,-0.01567825,31.17286954,38.51162322,42.10203082,70.05741381,73.78752463,62.59719217,1.74402857,2.13299000,1.35506714,658025.44844480,529575.32982029
2017-11-13,1.50000000,1.73810000,1.50000000,1.68000000,273596.32318800,0.19000000,12.75167785,15.87333333,1.70566000,1.73602500,1.73602500,1.73602500,1.73602500,1.73602500,1.73602500,1.73602500,1.73602500,1.73602500,1.73602500,1.73602500,1.71017534,1.72498387,-0.01480853,-0.00341644,-0.01139209,50.36868704,52.06050851,53.37068960,69.84628121,72.47377682,64.59128998,1.73602500,2.09896828,1.37308172,580506.95478000,497577.95399125
2017-11-14,1.68010000,1.73810000,1.53210000,1.59110000,285855.47570000,-0.08890000,-5.29166667,12.26117493,1.62588000,1.71992222,1.71992222,1.71992222,1.71992222,1.71992222,1.71992222,1.71992222,1.71992222,1.71992222,1.71992222,1.71992222,1.68661800,1.70513934,-0.01852134,-0.00690575,-0.01161560,43.54913445,46.79710958,48.73921786,67.96208122,70.96987829,61.94648708,1.71992222,2.07290470,1.36693975,520515.48477920,474053.23418111
2017-11-15,1.57210000,1.67940000,1.49000000,1.55320000,460183.52253000,-0.03790000,-2.38199987,12.04757967,1.59386000,1.70325000,1.70325000,1.70325000,1.70325000,1.70325000,1.70325000,1.70325000,1.70325000,1.70325000,1.70325000,1.70325000,1.66133534,1.68417319,-0.02283785,-0.01047546,-0.01236239,40.72810177,44.69552009,46.92760478,53.57450368,65.17142008,30.38067087,1.70325000,2.05235038,1.35414962,435376.81624520,472666.26301600
