date,open,high,low,close,volume,change,pct_chg,amplitude,close_5_sma,close_10_sma,close_15_sma,close_20_sma,close_25_sma,close_30_sma,close_35_sma,close_40_sma,close_45_sma,close_50_sma,close_60_sma,close_200_sma,close_12_ema,close_26_ema,macd,macds,macdh,rsi_6,rsi_12,rsi_24,kdjk,kdjd,kdjj,boll,boll_ub,boll_lb,volume_5_sma,volume_10_sma
2017-08-17,4261.48000000,4485.39000000,4200.74000000,4285.08000000,3454770.05073206,,,6.67960427,4285.08000000,4285.08000000,4285.08000000,4285.08000000,4285.08000000,4285.08000000,4285.08000000,4285.08000000,4285.08000000,4285.08000000,4285.08000000,4285.08000000,4285.08000000,4285.08000000,0.00000000,0.00000000,0.00000000,,,,43.20978980,47.73659660,34.15617620,4285.08000000,,,3454770.05073206,3454770.05073206
2017-08-18,4285.08000000,4371.52000000,3938.77000000,4108.37000000,5086958.30617151,-176.71000000,-4.12384366,10.09899465,4196.72500000,4196.72500000,4196.72500000,4196.72500000,4196.72500000,4196.72500000,4196.72500000,4196.72500000,4196.72500000,4196.72500000,4196.72500000,4196.72500000,4189.36208333,4193.32673077,-3.96464744,-2.20258191,-1.76206553,0.00000000,0.00000000,0.00000000,39.14887283,44.87402201,27.69857447,4196.72500000,4446.63067861,3946.81932139,4270864.17845178,4270864.17845178
2017-08-19,4108.37000000,4184.69000000,3850.00000000,4139.98000000,1549483.73542151,31.61000000,0.76940490,8.14653987,4177.81000000,4177.81000000,4177.81000000,4177.81000000,4177.81000000,4177.81000000,4177.81000000,4177.81000000,4177.81000000,4177.81000000,4177.81000000,4177.81000000,4170.08824480,4174.15976836,-4.07152356,-2.96854160,-1.10298196,17.67221699,16.32797131,15.72972670,41.31195256,43.68666553,36.56252663,4177.81000000,4366.27684271,3989.34315729,3363737.36410836,3363737.36410836
2017-08-20,4120.98000000,4211.08000000,4032.62000000,4086.29000000,1930364.39032646,-53.69000000,-1.29686617,4.33052332,4154.93000000,4154.93000000,4154.93000000,4154.93000000,4154.93000000,4154.93000000,4154.93000000,4154.93000000,4154.93000000,4154.93000000,4154.93000000,4154.93000000,4143.63641379,4149.59522100,-5.95880720,-3.98150420,-1.97730300,12.99238651,12.53543930,12.30049963,39.93736292,42.43689799,34.93829278,4154.93000000,4333.97118037,3975.88881963,3005394.12066288,3005394.12066288
2017-08-21,4069.13000000,4119.62000000,3911.79000000,4016.00000000,2797231.71402728,-70.29000000,-1.72014223,5.10747998,4127.14400000,4127.14400000,4127.14400000,4127.14400000,4127.14400000,4127.14400000,4127.14400000,4127.14400000,4127.14400000,4127.14400000,4127.14400000,4127.14400000,4108.95805634,4118.61393822,-9.65588189,-5.66950328,-3.98637861,9.17524574,9.41289320,9.47779257,35.33347081,40.06908893,25.86223456,4127.14400000,4325.84740742,3928.44059258,2963761.63933576,2963761.63933576
2017-08-22,4016.00000000,4104.82000000,3400.00000000,4040.00000000,3752505.77214051,24.00000000,0.59760956,17.55029880,4078.12800000,4112.62000000,4112.62000000,4112.62000000,4112.62000000,4112.62000000,4112.62000000,4112.62000000,4112.62000000,4112.62000000,4112.62000000,4112.62000000,4092.19762078,4102.86819340,-10.67057262,-7.02507112,-3.64550150,18.93385061,17.10432886,16.31955723,43.21064065,41.11627284,47.39937627,4112.62000000,4304.05968533,3921.18031467,3023308.78361745,3095218.99480322
2017-08-23,4040.00000000,4265.80000000,4013.89000000,4114.01000000,4148686.46581968,74.01000000,1.83193069,6.23539604,4079.25600000,4112.81857143,4112.81857143,4112.81857143,4112.81857143,4112.81857143,4112.81857143,4112.81857143,4112.81857143,4112.81857143,4112.81857143,4112.81857143,4097.06497688,4104.84970594,-7.78472906,-7.21732028,-0.56740878,41.99607878,35.52152467,32.68984018,50.73500294,44.32251620,63.55997640,4112.81857143,4287.58145362,3938.05568924,2835654.41554709,3245714.34780557
2017-08-24,4147.00000000,4371.68000000,4085.01000000,4316.01000000,3296476.41316476,202.00000000,4.91005126,6.91270798,4114.46200000,4138.21750000,4138.21750000,4138.21750000,4138.21750000,4138.21750000,4138.21750000,4138.21750000,4138.21750000,4138.21750000,4138.21750000,4138.21750000,4142.75542859,4138.87286152,3.88256707,-4.54980862,8.43237569,69.97353208,61.19301501,56.77364871,61.95485177,50.19996139,85.46463251,4138.21750000,4354.60209088,3921.83290912,3185052.95109574,3252059.60597547
2017-08-25,4316.01000000,4453.91000000,4247.48000000,4280.68000000,2484637.34936327,-35.33000000,-0.81858012,4.78288975,4153.34000000,4154.04666667,4154.04666667,4154.04666667,4154.04666667,4154.04666667,4154.04666667,4154.04666667,4154.04666667,4154.04666667,4154.04666667,4154.04666667,4170.04181796,4159.89179252,10.15002543,-1.15407402,11.30409946,63.54104809,56.87264837,53.29352513,68.34973393,56.24988557,92.54943064,4154.04666667,4377.63055562,3930.46277771,3295907.54290310,3166790.46635189
2017-08-26,4280.71000000,4367.00000000,4212.41000000,4337.44000000,977865.73333210,56.76000000,1.32595756,3.61131681,4217.62800000,4172.38600000,4172.38600000,4172.38600000,4172.38600000,4172.38600000,4172.38600000,4172.38600000,4172.38600000,4172.38600000,4172.38600000,4172.38600000,4201.76370840,4184.39171713,17.37199126,2.99684004,14.37515123,69.02974977,61.62155311,57.64589253,75.21607986,62.57195033,100.50433890,4172.38600000,4412.98646554,3931.78553446,2932034.34676406,2947897.99304991
2017-08-27,4332.51000000,4400.00000000,4285.54000000,4310.01000000,1521580.06202557,-27.43000000,-0.63240068,2.64188657,4271.63000000,4174.87900000,4184.89727273,4184.89727273,4184.89727273,4184.89727273,4184.89727273,4184.89727273,4184.89727273,4184.89727273,4184.89727273,4184.89727273,4221.57016976,4200.68444822,20.88572154,6.91082509,13.97489645,63.48712153,58.24060484,55.05862894,78.92608080,68.02332715,100.73158809,4184.89727273,4427.76993732,3942.02460813,2485849.20474108,2754578.99417926
2017-08-28,4310.01000000,4399.82000000,4124.54000000,4386.69000000,2591660.52579953,76.68000000,1.77911420,6.38699214,4326.16600000,4202.71100000,4201.71333333,4201.71333333,4201.71333333,4201.71333333,4201.71333333,4201.71333333,4201.71333333,4201.71333333,4201.71333333,4201.71333333,4250.92793351,4223.53816103,27.38977248,11.30884414,16.08092834,71.23497994,64.22630011,60.26129257,83.82466929,73.29044120,104.89312547,4201.71333333,4460.93929588,3942.48737078,2174444.01673705,2505049.21614207
2017-08-29,4353.65000000,4625.85000000,4313.55000000,4587.48000000,2682483.73582991,200.79000000,4.57725529,7.17329138,4380.46000000,4247.46100000,4231.38769231,4231.38769231,4231.38769231,4231.38769231,4231.38769231,4231.38769231,4231.38769231,4231.38769231,4231.38769231,4231.38769231,4309.36615769,4266.17388182,43.19227587,18.05648602,25.13578985,82.74207026,74.61881804,69.81069052,88.17308852,78.25132364,108.01661829,4231.38769231,4559.08842806,3903.68695656,2051645.48127008,2618349.21618291
