date,open,high,low,close,volume,change,pct_chg,amplitude,close_5_sma,close_10_sma,close_15_sma,close_20_sma,close_25_sma,close_30_sma,close_35_sma,close_40_sma,close_45_sma,close_50_sma,close_60_sma,close_200_sma,close_12_ema,close_26_ema,macd,macds,macdh,rsi_6,rsi_12,rsi_24,kdjk,kdjd,kdjj,boll,boll_ub,boll_lb,volume_5_sma,volume_10_sma
2019-07-05,0.00449000,0.00460000,0.00355000,0.00387010,7506289.39817290,,,23.38530067,0.00387010,0.00387010,0.00387010,0.00387010,0.00387010,0.00387010,0.00387010,0.00387010,0.00387010,0.00387010,0.00387010,0.00387010,0.00387010,0.00387010,0.00000000,0.00000000,0.00000000,,,,43.49523810,47.83174603,34.82222222,0.00387010,,,7506289.39817290,7506289.39817290
2019-07-06,0.00387410,0.00394260,0.00336520,0.00350000,3692804.08878380,-0.00037010,-9.56306039,14.90410676,0.00368505,0.00368505,0.00368505,0.00368505,0.00368505,0.00368505,0.00368505,0.00368505,0.00368505,0.00368505,0.00368505,0.00368505,0.00366963,0.00367793,-0.00000830,-0.00000461,-0.00000369,0.00000000,0.00000000,0.00000000,32.63574128,42.76641111,12.37440161,0.00368505,0.00420845,0.00316165,5599546.74347835,5599546.74347835
2019-07-07,0.00350400,0.00365000,0.00340000,0.00353770,1860353.07168390,0.00003770,1.07714286,7.13470320,0.00363593,0.00363593,0.00363593,0.00363593,0.00363593,0.00363593,0.00363593,0.00363593,0.00363593,0.00363593,0.00363593,0.00363593,0.00361814,0.00362755,-0.00000941,-0.00000658,-0.00000283,10.89228102,10.00110534,9.60805343,26.41378541,37.31553588,4.61028447,0.00363593,0.00404327,0.00322860,4353148.85288020,4353148.85288020
2019-07-08,0.00353780,0.00356180,0.00340000,0.00345800,1078072.00566180,-0.00007970,-2.25287616,4.57346373,0.00359145,0.00359145,0.00359145,0.00359145,0.00359145,0.00359145,0.00359145,0.00359145,0.00359145,0.00359145,0.00359145,0.00359145,0.00356759,0.00358015,-0.00001256,-0.00000861,-0.00000396,8.53411003,8.12668510,7.92775633,20.11431931,31.58179702,-2.82063612,0.00359145,0.00396864,0.00321426,3534379.64107560,3534379.64107560
2019-07-09,0.00346200,0.00358200,0.00335640,0.00345450,878528.33377630,-0.00000350,-0.10121457,6.51646447,0.00356406,0.00356406,0.00356406,0.00356406,0.00356406,0.00356406,0.00356406,0.00356406,0.00356406,0.00356406,0.00356406,0.00356406,0.00353686,0.00355101,-0.00001415,-0.00001025,-0.00000389,8.43784272,8.05436673,7.86472919,16.03900906,26.40086770,-4.68470823,0.00356406,0.00391293,0.00321519,3003209.37961574,3003209.37961574
2019-07-10,0.00345760,0.00352940,0.00325100,0.00334210,824623.25664850,-0.00011240,-3.25372702,8.05182786,0.00345846,0.00352707,0.00352707,0.00352707,0.00352707,0.00352707,0.00352707,0.00352707,0.00352707,0.00352707,0.00352707,0.00352707,0.00348952,0.00350917,-0.00001964,-0.00001280,-0.00000684,5.88121628,6.14011668,6.21022977,12.94372286,21.91515275,-4.99913692,0.00352707,0.00388792,0.00316622,1666876.15131086,2640111.69245453
2019-07-11,0.00333580,0.00333950,0.00309090,0.00320900,648510.32191330,-0.00013310,-3.98252596,7.45248516,0.00340026,0.00348163,0.00348163,0.00348163,0.00348163,0.00348163,0.00348163,0.00348163,0.00348163,0.00348163,0.00348163,0.00348163,0.00342693,0.00345578,-0.00002886,-0.00001686,-0.00001199,4.11114249,4.69779626,4.92897707,11.23776740,18.35602430,-2.99874641,0.00348163,0.00388945,0.00307380,1058017.39793676,2355597.21094864
2019-07-12,0.00321050,0.00335980,0.00315620,0.00326220,747823.35484090,0.00005320,1.65783733,6.34169133,0.00334516,0.00345420,0.00345420,0.00345420,0.00345420,0.00345420,0.00345420,0.00345420,0.00345420,0.00345420,0.00345420,0.00345420,0.00339255,0.00342459,-0.00003204,-0.00002051,-0.00001153,16.20724630,13.55223494,12.46154386,11.27555708,15.99586856,1.83493411,0.00345420,0.00386241,0.00304599,835511.45456816,2154625.47893518
2019-07-13,0.00326260,0.00326530,0.00313580,0.00325320,354130.99194630,-0.00000900,-0.27588744,3.96922700,0.00330420,0.00343187,0.00343187,0.00343187,0.00343187,0.00343187,0.00343187,0.00343187,0.00343187,0.00343187,0.00343187,0.00343187,0.00336498,0.00339919,-0.00003421,-0.00002368,-0.00001053,15.80256143,13.32377770,12.28965458,11.10195622,14.36456445,4.57673976,0.00343187,0.00383654,0.00302719,690723.25182506,1954570.53593641
2019-07-14,0.00324740,0.00327880,0.00290080,0.00291750,671776.70786850,-0.00033570,-10.31907045,11.64008130,0.00319680,0.00338043,0.00338043,0.00338043,0.00338043,0.00338043,0.00338043,0.00338043,0.00338043,0.00338043,0.00338043,0.00338043,0.00328018,0.00333272,-0.00005254,-0.00003014,-0.00002239,7.46238291,7.90283888,7.99654768,7.93563575,12.22158821,-0.63626918,0.00338043,0.00388182,0.00287904,649372.92664350,1826291.15312962
2019-07-15,0.00291750,0.00313540,0.00280110,0.00307120,648584.72040980,0.00015370,5.26820908,11.45844045,0.00314262,0.00330054,0.00335232,0.00335232,0.00335232,0.00335232,0.00335232,0.00335232,0.00335232,0.00335232,0.00335232,0.00335232,0.00324195,0.00329880,-0.00005686,-0.00003599,-0.00002087,28.26369148,23.45750905,21.15518966,15.89630596,13.44649413,20.79592961,0.00335232,0.00386323,0.00284141,614165.21939576,1140520.68535331
2019-07-16,0.00306240,0.00310090,0.00273230,0.00279940,461906.87004230,-0.00027180,-8.84996093,12.03631139,0.00306070,0.00323048,0.00330624,0.00330624,0.00330624,0.00330624,0.00330624,0.00330624,0.00330624,0.00330624,0.00330624,0.00330624,0.00316326,0.00323744,-0.00007418,-0.00004419,-0.00002999,19.13572414,17.69282118,16.73781125,13.22983890,13.37427572,12.94096526,0.00330624,0.00388865,0.00272383,576844.52902156,817430.96347916
2019-07-17,0.00279950,0.00298600,0.00270630,0.00288220,919480.30577470,0.00008280,2.95777667,9.99106983,0.00298470,0.00316493,0.00327362,0.00327362,0.00327362,0.00327362,0.00327362,0.00327362,0.00327362,0.00327362,0.00327362,0.00327362,0.00311446,0.00319583,-0.00008137,-0.00005206,-0.00002931,27.67455548,23.90732160,21.92043136,15.51548850,14.08801331,18.37043889,0.00327362,0.00387882,0.00266843,611175.91920832,723343.68688824
2019-07-18,0.00286630,0.00312510,0.00277970,0.00309790,774480.18381550,0.00021570,7.48386649,12.05037854,0.00295364,0.00312892,0.00326107,0.00326107,0.00326107,0.00326107,0.00326107,0.00326107,0.00326107,0.00326107,0.00326107,0.00326107,0.00311164,0.00318483,-0.00007319,-0.00005648,-0.00001671,45.62396992,37.35030941,33.21976227,26.20240440,18.12614367,42.35492584,0.00326107,0.00385006,0.00267208,695245.75758216,692984.50470361
2019-07-19,0.00310080,0.00310680,0.00292020,0.00302320,304506.82270470,-0.00007470,-2.41131089,6.01780186,0.00297478,0.00308579,0.00324521,0.00324521,0.00324521,0.00324521,0.00324521,0.00324521,0.00324521,0.00324521,0.00324521,0.00324521,0.00309682,0.00316734,-0.00007052,-0.00005939,-0.00001113,41.35842190,35.01337801,31.56883572,33.63251341,23.29493359,54.30767306,0.00324521,0.00382592,0.00266451,621791.78054940,635582.35359645
2019-07-20,0.00301310,0.00315280,0.00300000,0.00307870,326290.22798130,0.00005550,1.83580312,5.07118914,0.00297628,0.00305945,0.00319245,0.00323481,0.00323481,0.00323481,0.00323481,0.00323481,0.00323481,0.00323481,0.00323481,0.00323481,0.00309383,0.00315807,-0.00006424,-0.00006039,-0.00000385,45.87043093,38.14993280,34.10759980,41.41682991,29.33556569,65.57935833,0.00323481,0.00380197,0.00266765,557332.88206370,585749.05072973
2019-07-21,0.00307010,0.00312720,0.00298720,0.00304680,182107.79668400,-0.00003190,-1.03615162,4.56011205,0.00302576,0.00304323,0.00316224,0.00322375,0.00322375,0.00322375,0.00322375,0.00322375,0.00322375,0.00322375,0.00322375,0.00322375,0.00308615,0.00314678,-0.00006063,-0.00006044,-0.00000019,43.55879663,37.02930664,33.36519096,47.43654745,35.36922628,71.57118979,0.00322375,0.00378042,0.00266708,501373.06739204,539108.79820680
