date,open,high,low,close,volume,change,pct_chg,amplitude,close_5_sma,close_10_sma,close_15_sma,close_20_sma,close_25_sma,close_30_sma,close_35_sma,close_40_sma,close_45_sma,close_50_sma,close_60_sma,close_200_sma,close_12_ema,close_26_ema,macd,macds,macdh,rsi_6,rsi_12,rsi_24,kdjk,kdjd,kdjj,boll,boll_ub,boll_lb,volume_5_sma,volume_10_sma
2017-08-17,301.13000000,312.18000000,298.00000000,302.00000000,2154655.30035660,,,4.70892970,302.00000000,302.00000000,302.00000000,302.00000000,302.00000000,302.00000000,302.00000000,302.00000000,302.00000000,302.00000000,302.00000000,302.00000000,302.00000000,302.00000000,0.00000000,0.00000000,0.00000000,,,,42.73624824,47.57874941,33.05124589,302.00000000,,,2154655.30035660,2154655.30035660
2017-08-18,302.00000000,311.79000000,283.94000000,293.96000000,2858946.50935390,-8.04000000,-2.66225166,9.22185430,297.98000000,297.98000000,297.98000000,297.98000000,297.98000000,297.98000000,297.98000000,297.98000000,297.98000000,297.98000000,297.98000000,297.98000000,297.64500000,297.82538462,-0.18038462,-0.10021368,-0.08017094,0.00000000,0.00000000,0.00000000,40.31802763,45.15850882,30.63706524,297.98000000,309.35027704,286.60972296,2506800.90485525,2506800.90485525
2017-08-19,293.31000000,299.90000000,278.00000000,290.91000000,620022.58986170,-3.05000000,-1.03755613,7.46650302,295.62333333,295.62333333,295.62333333,295.62333333,295.62333333,295.62333333,295.62333333,295.62333333,295.62333333,295.62333333,295.62333333,295.62333333,295.01632794,295.34075407,-0.32442612,-0.19210402,-0.13232210,0.00000000,0.00000000,0.00000000,39.46889378,43.26197047,31.88274040,295.62333333,307.08143672,284.16522994,1877874.79985740,1877874.79985740
2017-08-20,289.41000000,300.53000000,282.85000000,299.10000000,742847.89455990,8.19000000,2.81530370,6.10898034,296.49250000,296.49250000,296.49250000,296.49250000,296.49250000,296.49250000,296.49250000,296.49250000,296.49250000,296.49250000,296.49250000,296.49250000,296.30538362,296.39167495,-0.08629133,-0.15625961,0.06996828,50.19920319,46.16251761,44.27774962,46.88993153,44.47129082,51.72721294,296.49250000,306.47311287,286.51188713,1594118.07353302,1594118.07353302
2017-08-21,299.10000000,346.52000000,294.60000000,323.29000000,1689472.34121400,24.19000000,8.08759612,17.35874290,301.85200000,301.85200000,301.85200000,301.85200000,301.85200000,301.85200000,301.85200000,301.85200000,301.85200000,301.85200000,301.85200000,301.85200000,303.63700745,302.62950748,1.00749997,0.18993255,0.81756742,82.08102684,78.35598754,76.43529589,53.29245095,47.41167753,65.05399778,301.85200000,327.33129120,276.37270880,1613188.92706922,1613188.92706922
2017-08-22,321.04000000,330.41000000,144.21000000,309.80000000,2454425.80331370,-13.49000000,-4.17272418,57.99900324,303.41200000,303.17666667,303.17666667,303.17666667,303.17666667,303.17666667,303.17666667,303.17666667,303.17666667,303.17666667,303.17666667,303.17666667,305.13493887,304.06569994,1.06923893,0.42827347,0.64096546,57.46302992,57.45469259,57.21951907,62.81151286,52.54495598,83.34462664,303.17666667,326.87200854,279.48132479,1673143.02766064,1753395.07310997
2017-08-23,312.25000000,324.99000000,309.41000000,315.74000000,2753464.94504080,5.94000000,1.91736604,4.98959167,307.76800000,304.97142857,304.97142857,304.97142857,304.97142857,304.97142857,304.97142857,304.97142857,304.97142857,304.97142857,304.97142857,304.97142857,307.50142116,306.14191369,1.35950747,0.66394395,0.69556352,63.28198343,62.28700580,61.64941834,70.13625020,58.40872072,93.59130917,304.97142857,328.59522569,281.34763145,1652046.71479802,1896262.19767151
2017-08-24,315.74000000,328.04000000,314.01000000,323.42000000,2159417.11415370,7.68000000,2.43238107,4.44352949,314.27000000,307.27750000,307.27750000,307.27750000,307.27750000,307.27750000,307.27750000,307.27750000,307.27750000,307.27750000,307.27750000,307.27750000,310.82338321,308.92584151,1.89754169,0.96040069,0.93714101,69.71069162,67.49444628,66.35037833,76.28479323,64.36741156,100.11955659,307.27750000,332.74379986,281.81120014,1959925.61965642,1929156.56223179
2017-08-25,323.42000000,338.28000000,323.42000000,327.24000000,2354162.03829400,3.82000000,1.18112671,4.59464473,319.89800000,309.49555556,309.49555556,309.49555556,309.49555556,309.49555556,309.49555556,309.49555556,309.49555556,309.49555556,309.49555556,309.49555556,314.07117433,311.64040185,2.43077248,1.30006387,1.13070861,72.57652164,69.76015252,68.36314509,81.01321905,69.91601405,103.20762904,309.49555556,336.78250502,282.20860609,2282188.44840324,1976379.39290537
2017-08-26,327.24000000,335.44000000,323.41000000,330.79000000,1601994.37731660,3.55000000,1.08483071,3.67620095,321.39800000,311.62500000,311.62500000,311.62500000,311.62500000,311.62500000,311.62500000,311.62500000,311.62500000,311.62500000,311.62500000,311.62500000,317.23938529,314.28286002,2.95652528,1.67120738,1.28531790,75.19389613,71.75599328,70.09761772,84.75041387,74.86081399,104.52961363,311.62500000,340.66339030,282.58660970,2264692.85562376,1938940.89134649
2017-08-27,332.18000000,348.13000000,330.73000000,348.13000000,1554477.35816030,17.34000000,5.24199643,5.23812391,329.06400000,316.23800000,314.94363636,314.94363636,314.94363636,314.94363636,314.94363636,314.94363636,314.94363636,314.94363636,314.94363636,314.94363636,322.89162296,318.67284480,4.21877816,2.22860131,1.99017685,84.09283335,79.10461599,76.62841802,89.83360925,79.85174575,109.79733626,314.94363636,350.20682655,279.68044618,2084703.16659308,1878923.09712686
2017-08-28,348.11000000,351.00000000,331.95000000,346.00000000,1463758.16910410,-2.13000000,-0.61184040,5.47240815,335.11600000,321.44200000,317.53166667,317.53166667,317.53166667,317.53166667,317.53166667,317.53166667,317.53166667,317.53166667,317.53166667,317.53166667,327.00021654,322.03041639,4.96980014,2.81729586,2.15250429,79.86934349,76.43949740,74.54165299,92.41643554,84.03997568,109.16935526,317.53166667,355.63608954,279.42724379,1826761.81140574,1739404.26310188
2017-08-29,347.00000000,377.60000000,346.00000000,374.70000000,1102069.62058090,28.70000000,8.29479769,9.10662824,345.37200000,329.82100000,321.92923077,321.92923077,321.92923077,321.92923077,321.92923077,321.92923077,321.92923077,321.92923077,321.92923077,321.92923077,335.28271104,328.20064861,7.08206242,3.71986863,3.36219379,88.89082448,84.24287408,81.59042133,94.53010523,87.53668553,108.51694464,321.92923077,370.26717753,273.59128400,1615292.31269118,1787608.96617380
2017-08-30,374.70000000,393.71000000,362.05000000,385.93000000,1679526.21251150,11.23000000,2.99706432,8.44942621,357.11000000,338.50400000,326.50071429,326.50071429,326.50071429,326.50071429,326.50071429,326.50071429,326.50071429,326.50071429,326.50071429,326.50071429,343.90632727,334.68434180,9.22198547,4.87091558,4.35106989,90.82209299,86.19465751,83.46021685,95.31399133,90.12912079,105.68373240,326.50071429,384.18204387,268.81938470,1480365.14753468,1881276.79796896
2017-08-31,384.64000000,389.36000000,377.78000000,384.79000000,1704441.39426660,-1.14000000,-0.29539036,3.01060732,367.91000000,344.65400000,330.38666667,330.38666667,330.38666667,330.38666667,330.38666667,330.38666667,330.38666667,330.38666667,330.38666667,330.38666667,350.75504236,340.10454665,10.65049570,6.06898492,4.58151078,88.93862781,85.02829978,82.57185316,93.34890841,91.20238333,97.64195858,330.38666667,393.59679862,267.17653472,1500854.55092468,1882773.70327422
2017-09-01,386.44000000,394.39000000,383.18000000,388.46000000,1635227.61376610,3.67000000,0.95376699,2.90083842,375.97600000,352.52000000,336.15066667,334.01625000,334.01625000,334.01625000,334.01625000,334.01625000,334.01625000,334.01625000,334.01625000,334.01625000,356.98608389,345.16292430,11.82315959,7.25315117,4.57000842,89.75906993,85.70751729,83.17351078,93.10678658,91.83718442,95.64599092,334.01625000,401.63489196,266.39760804,1517004.60204584,1800853.88431946
2017-09-02,388.58000000,394.32000000,320.08000000,343.14000000,2904008.46138610,-45.32000000,-11.66658086,19.10546091,375.40400000,355.26000000,339.42933333,334.55294118,334.55294118,334.55294118,334.55294118,334.55294118,334.55294118,334.55294118,334.55294118,334.55294118,354.72372677,344.95757982,9.76614695,7.76732857,1.99881837,42.76038874,53.19637695,57.56583109,72.41524524,85.36320469,46.51932634,334.55294118,400.17382001,268.93206235,1805054.66050224,1815908.23595399
2017-09-03,343.56000000,367.28000000,320.08000000,341.77000000,1801702.61780290,-1.37000000,-0.39925395,13.73850274,368.81800000,357.09500000,342.82000000,334.95388889,334.95388889,334.95388889,334.95388889,334.95388889,334.95388889,334.95388889,334.95388889,334.95388889,352.62719071,344.64265255,7.98453816,7.81156743,0.17297073,41.96333206,52.53914971,57.01214116,58.00634167,76.24425035,21.53052430,334.95388889,398.70633517,271.20144261,1944981.25994664,1780136.78631891
2017-09-04,339.29000000,344.55000000,267.94000000,283.77000000,2002446.18180200,-58.00000000,-16.97047722,22.57950426,348.38600000,352.74800000,341.79800000,332.26000000,332.26000000,332.26000000,332.26000000,332.26000000,332.26000000,332.26000000,332.26000000,332.26000000,341.57125426,338.77364803,2.79760623,6.79411211,-3.99650588,21.55314745,33.45170630,40.01116472,42.84382182,65.11077417,-1.69008289,332.26000000,398.51791022,266.00208978,2009565.25380474,1744965.20066971
2017-09-05,286.81000000,321.52000000,235.55000000,312.09000000,2397490.91783860,28.32000000,9.97991331,29.97454761,333.84600000,350.87800000,341.05133333,331.25150000,331.25150000,331.25150000,331.25150000,331.25150000,331.25150000,331.25150000,331.25150000,331.25150000,336.86923144,336.25717720,0.61205424,5.54327942,-4.93122518,38.95119882,44.24184305,47.92337792,44.62483278,58.28212704,17.31024425,331.25150000,396.36999192,266.13300808,2148175.15851914,1824514.85472191
2017-09-06,313.29000000,336.34000000,312.09000000,335.00000000,1793962.85849940,22.91000000,7.34083117,7.74043219,323.15400000,349.56500000,342.73133333,332.90150000,331.43000000,331.43000000,331.43000000,331.43000000,331.43000000,331.43000000,331.43000000,331.43000000,336.57277778,336.14096718,0.43181061,4.51146888,-4.07965827,49.76635640,51.22156733,53.14060213,50.61994644,55.72806684,40.40370564,332.90150000,396.55506310,269.24793690,2179922.20746580,1848463.40475582
2017-09-07,335.01000000,342.50000000,320.17000000,334.49000000,1027135.68695240,-0.51000000,-0.15223881,6.66547267,321.42400000,348.41400000,343.98133333,334.92800000,331.56909091,331.56909091,331.56909091,331.56909091,331.56909091,331.56909091,331.56909091,331.56909091,336.24401815,335.99110817,0.25290998,3.65342586,-3.40051588,49.53195107,51.06632929,53.01722287,54.50966294,55.32193221,52.88512441,334.92800000,395.88507777,273.97092223,1804547.65257906,1804801.15654065
2017-09-08,334.49000000,335.10000000,272.00000000,302.99000000,1494309.88661630,-31.50000000,-9.41732189,18.86454005,313.66800000,341.24300000,342.61933333,335.53200000,330.32652174,330.32652174,330.32652174,330.32652174,330.32652174,330.32652174,330.32652174,330.32652174,331.01589606,333.04477629,-2.02888022,2.51021633,-4.53909655,36.71473609,42.40654438,46.11648304,50.49238169,53.71208204,44.05298100,335.53200000,394.87053016,276.19346984,1743069.10634174,1844025.18314419
2017-09-09,300.01000000,307.00000000,281.66000000,296.74000000,813750.35893590,-6.25000000,-2.06277435,8.44638512,316.26200000,332.32400000,340.58600000,335.41400000,328.92708333,328.92708333,328.92708333,328.92708333,328.92708333,328.92708333,328.92708333,328.92708333,325.64522438,329.85204143,-4.20681704,1.16043549,-5.36725254,34.58397918,40.90510434,44.90633321,46.50260181,51.30892196,36.88996151,335.41400000,395.06613312,275.76186688,1505329.94176852,1757447.59778663
2017-09-10,296.72000000,302.78000000,261.03000000,293.50000000,1181903.77219990,-3.24000000,-1.09186493,14.07050418,312.54400000,323.19500000,338.10000000,333.92450000,327.51000000,327.51000000,327.51000000,327.51000000,327.51000000,327.51000000,327.51000000,327.51000000,320.62268712,326.69887952,-6.07619240,-0.29237866,-5.78381374,33.37891026,40.10214008,44.27781546,43.16818076,48.59534156,32.31385917,333.92450000,396.27784034,271.57115966,1262212.51264078,1705193.83557996
2017-09-11,293.51000000,304.98000000,285.21000000,297.30000000,1436811.81615690,3.80000000,1.29471891,6.73571599,305.00400000,314.07900000,334.71133333,333.29950000,327.32200000,326.34807692,326.34807692,326.34807692,326.34807692,326.34807692,326.34807692,326.34807692,316.98735039,324.18072594,-7.19337555,-1.67676208,-5.51661347,36.49332286,41.56966087,45.21620692,44.40418256,47.19828856,38.81597055,333.29950000,396.90893408,269.69006592,1190782.30417228,1685352.25581904
2017-09-12,297.78000000,316.46000000,286.01000000,293.96000000,1573452.41245190,-3.34000000,-1.12344433,10.22566996,296.89800000,309.16100000,331.24200000,332.21050000,327.32200000,325.14851852,325.14851852,325.14851852,325.14851852,325.14851852,325.14851852,325.14851852,313.40530221,321.62181126,-8.21650904,-2.98788157,-5.22862748,34.77849957,40.61551162,44.52844252,47.46517369,47.28725027,47.82102053,332.21050000,397.80061847,266.62038153,1300045.64927218,1552296.65092562
2017-09-13,293.93000000,294.50000000,257.05000000,276.91000000,1761080.89760690,-17.05000000,-5.80010886,12.74112884,291.68200000,302.67500000,324.72266667,329.88500000,326.76200000,323.42571429,323.42571429,323.42571429,323.42571429,323.42571429,323.42571429,323.42571429,307.73792176,317.87558637,-10.13766462,-4.42060948,-5.71705514,27.00510106,36.01233543,41.19103251,44.53420805,46.36956953,40.86348509,329.88500000,399.93387872,259.83612128,1353399.85147030,1548234.47890602
2017-09-14,275.76000000,283.77000000,215.00000000,215.21000000,3110767.78056470,-61.70000000,-22.28160774,24.93835219,275.37600000,295.81900000,313.34133333,324.28350000,323.40640000,319.69413793,319.69413793,319.69413793,319.69413793,319.69413793,319.69413793,319.69413793,293.38992359,309.35638318,-15.96645959,-6.73335830,-9.23310129,13.70397086,24.88037005,32.10476139,29.74437399,40.82783768,7.57744661,324.28350000,411.12678202,237.44021798,1812803.33579606,1659066.63878229
2017-09-15,217.00000000,270.93000000,192.00000000,253.00000000,3319311.82673500,37.79000000,17.55959296,36.37327189,267.27600000,289.91000000,304.55533333,320.39400000,320.59480000,317.47100000,317.47100000,317.47100000,317.47100000,317.47100000,317.47100000,317.47100000,287.13442703,304.72120459,-17.58677757,-8.90673266,-8.68004490,36.64049046,37.73954584,40.49393834,33.34010315,38.33192617,23.35645710,320.39400000,412.80017191,227.98782809,2240284.94670308,1751248.72967193
2017-09-16,255.99000000,271.81000000,235.51000000,249.31000000,2647152.37237080,-3.69000000,-1.45849802,14.18024142,257.67800000,281.34100000,295.27866667,315.45300000,318.17520000,315.71466667,315.27225806,315.27225806,315.27225806,315.27225806,315.27225806,315.27225806,281.28230501,300.20071316,-18.91840815,-10.91105274,-8.00735540,35.53384222,37.06370175,39.99047314,35.57637438,37.41340891,31.90230532,315.45300000,412.08595463,218.82004537,2482353.05794586,1836567.68105907
2017-09-17,249.32000000,264.39000000,239.02000000,257.55000000,1149704.29492940,8.24000000,3.30512214,10.17567784,250.39600000,273.64700000,289.57266667,311.03050000,315.84760000,314.50100000,313.46843750,313.46843750,313.46843750,313.46843750,313.46843750,313.46843750,277.61368749,296.74715802,-19.13347053,-12.55684023,-6.57663030,40.36068400,39.69455013,41.68006089,41.27342415,38.70008066,46.42011115,311.03050000,409.84838214,212.21261786,2397603.43444136,1848824.54185677
2017-09-18,257.53000000,306.22000000,257.11000000,294.57000000,1182937.63357400,37.02000000,14.37390798,19.06962296,253.92800000,272.80500000,286.42600000,307.02400000,314.69360000,314.62300000,312.89575758,312.89575758,312.89575758,312.89575758,312.89575758,312.89575758,280.23291917,296.57207494,-16.33915577,-13.31378311,-3.02537266,57.51173455,49.94885852,48.48033184,54.98628941,44.12881691,76.70123442,307.02400000,401.36908626,212.67891374,2281974.78163478,1817687.31655254
2017-09-19,296.00000000,300.00000000,277.41000000,284.00000000,535773.56520010,-10.57000000,-3.58828122,7.63175676,267.68600000,271.53100000,286.44133333,301.92750000,312.96400000,314.11966667,312.04588235,312.04588235,312.04588235,312.04588235,312.04588235,312.04588235,280.81445550,295.56742518,-14.75296968,-13.60176645,-1.15120324,52.35325643,47.43645621,46.85266530,61.29730345,49.85164575,84.18861883,301.92750000,389.06222832,214.79277168,1766975.93856186,1789889.63717896
2017-09-20,284.01000000,294.00000000,275.91000000,282.00000000,302739.73375310,-2.00000000,-0.70422535,6.36949403,273.48600000,270.38100000,284.43533333,296.78800000,311.01240000,312.74333333,311.18742857,311.18742857,311.18742857,311.18742857,311.18742857,311.18742857,280.99737539,294.48952761,-13.49215222,-13.57983470,0.08768248,51.30832164,46.94900231,46.54413118,64.96899880,54.89076344,85.12546954,296.78800000,375.01413821,218.56186179,1163661.51996548,1701973.23333428
2017-09-21,285.10000000,287.00000000,252.10000000,257.00000000,516193.19706080,-25.00000000,-8.86524823,12.24131884,275.02400000,266.35100000,279.23533333,290.21500000,307.36720000,310.98333333,309.90171429,309.68222222,309.68222222,309.68222222,309.68222222,309.68222222,277.29642480,291.52699843,-14.23057363,-13.71002474,-0.52054889,39.48647935,41.17877045,42.86250368,62.28190652,57.35447780,72.13676395,290.21500000,357.30810750,223.12189250,737469.68490348,1609911.37142467
2017-09-22,258.00000000,272.97000000,253.01000000,264.00000000,382962.21794300,7.00000000,2.72373541,7.73643411,276.31400000,263.35500000,274.53600000,286.25800000,304.08720000,309.25866667,309.04571429,308.44756757,308.44756757,308.44756757,308.44756757,308.44756757,275.24658118,289.36244853,-14.11586735,-13.79121434,-0.32465301,43.83463624,43.30711552,44.15317263,62.53335296,59.08076952,69.43851984,286.25800000,349.42872560,223.08727440,584121.26950620,1490862.35197378
2017-09-23,259.99000000,286.23000000,255.11000000,285.93000000,788810.32442390,21.93000000,8.30681818,11.96969114,274.58600000,264.25700000,273.39866667,283.46600000,300.53640000,308.00900000,308.90342857,307.85500000,307.85500000,307.85500000,307.85500000,307.85500000,276.89306567,289.09376747,-12.20070180,-13.47304575,1.27234395,55.77986968,49.54632929,47.99355790,69.10091388,62.42081764,82.46110636,283.46600000,340.98979440,225.94220560,505295.80767618,1393635.29465548
2017-09-24,286.50000000,294.61000000,275.00000000,282.00000000,1582877.48713290,-3.93000000,-1.37446228,6.84467714,274.18600000,270.93600000,272.41600000,283.37750000,296.37920000,306.50100000,308.41485714,307.19205128,307.19205128,307.19205128,307.19205128,307.19205128,277.67991311,288.54081401,-10.86090090,-12.95052996,2.08962906,53.34028143,48.50278599,47.38423502,67.98308226,64.27490585,75.39943510,283.37750000,340.90477129,225.85022871,714716.59206274,1240846.26531230
2017-09-25,282.00000000,299.00000000,281.34000000,294.42000000,1705551.99210180,12.42000000,4.40425532,6.26241135,276.67000000,275.07800000,272.47733333,282.49400000,292.76440000,305.28866667,307.59000000,306.87275000,306.87275000,306.87275000,306.87275000,306.87275000,280.25854228,288.99732279,-8.73878051,-12.10806809,3.36928758,59.97838388,51.98902474,49.49860211,72.80221357,67.11734176,84.17195721,282.49400000,338.69196902,226.29603098,995279.04373248,1079470.28184898
2017-09-26,294.42000000,296.81000000,286.24000000,287.90000000,1332125.16543960,-6.52000000,-2.21452347,3.59010937,282.85000000,278.93700000,271.85066667,280.13900000,288.74200000,303.28100000,306.96428571,306.52025000,306.41000000,306.41000000,306.41000000,306.41000000,281.43539896,288.91242100,-7.47702204,-11.18176038,3.70473834,55.04518716,50.04867276,48.43247120,70.58457500,68.27308617,75.20755266,280.13900000,330.74153786,229.53646214,1158465.43740824,947967.56115586
2017-09-27,289.91000000,313.00000000,286.13000000,309.74000000,1641896.87436510,21.84000000,7.58596735,9.26839364,291.99800000,284.15600000,272.90266667,278.90150000,287.40600000,302.07233333,306.79285714,306.91475000,306.48928571,306.48928571,306.48928571,306.48928571,285.79386323,290.51859068,-4.72472746,-9.89024392,5.16551647,66.21496108,56.04360785,52.04290135,78.60537075,71.71718103,92.38175018,278.90150000,324.90948525,232.89351475,1410252.36869266,997186.81909943
2017-09-28,309.81000000,311.81000000,296.89000000,302.44000000,2009233.88871050,-7.30000000,-2.35681539,4.81585488,295.30000000,284.94300000,274.60466667,278.87400000,285.83280000,299.66366667,306.19342857,307.20300000,306.39511628,306.39511628,306.39511628,306.39511628,288.35675294,291.43514988,-3.07839695,-8.52778180,5.44938486,60.21404612,53.69386205,50.80233518,79.95694667,74.46376958,90.94330086,278.87400000,324.82197946,232.92602054,1654337.08154998,1079816.44461308
