date,open,high,low,close,volume,change,pct_chg,amplitude,close_5_sma,close_10_sma,close_15_sma,close_20_sma,close_25_sma,close_30_sma,close_35_sma,close_40_sma,close_45_sma,close_50_sma,close_60_sma,close_200_sma,close_12_ema,close_26_ema,macd,macds,macdh,rsi_6,rsi_12,rsi_24,kdjk,kdjd,kdjj,boll,boll_ub,boll_lb,volume_5_sma,volume_10_sma
2020-08-11,2.85000000,3.52080000,2.84330000,3.29850000,4939148.93810700,,,23.77192982,3.29850000,3.29850000,3.29850000,3.29850000,3.29850000,3.29850000,3.29850000,3.29850000,3.29850000,3.29850000,3.29850000,3.29850000,3.29850000,3.29850000,0.00000000,0.00000000,0.00000000,,,,55.72939729,51.90979910,63.36859369,3.29850000,,,4939148.93810700,4939148.93810700
2020-08-12,3.29850000,3.92890000,3.08000000,3.75580000,6176153.72463800,0.45730000,13.86387752,25.73594058,3.52715000,3.52715000,3.52715000,3.52715000,3.52715000,3.52715000,3.52715000,3.52715000,3.52715000,3.52715000,3.52715000,3.52715000,3.54620417,3.53594423,0.01025994,0.00569996,0.00455997,100.00000000,100.00000000,100.00000000,65.17123170,56.33027663,82.85314184,3.52715000,4.17386986,2.88043014,5557651.33137250,5557651.33137250
2020-08-13,3.75000000,4.13870000,3.50030000,3.73000000,6446567.98049000,-0.02580000,-0.68693754,17.02400000,3.59476667,3.59476667,3.59476667,3.59476667,3.59476667,3.59476667,3.59476667,3.59476667,3.59476667,3.59476667,3.59476667,3.59476667,3.61793972,3.60566658,0.01227314,0.00839389,0.00387925,93.65911604,94.20213862,94.44020436,66.26412102,59.64155809,79.50924686,3.59476667,4.10856376,3.08096957,5853956.88107833,5853956.88107833
2020-08-14,3.72070000,3.76760000,3.32100000,3.40990000,5205834.09597700,-0.32010000,-8.58176944,12.00311769,3.54855000,3.54855000,3.54855000,3.54855000,3.54855000,3.54855000,3.54855000,3.54855000,3.54855000,3.54855000,3.54855000,3.54855000,3.55226971,3.55093880,0.00133091,0.00600128,-0.00467037,48.17720954,52.78217895,54.91367348,58.75587585,59.34633068,57.57496619,3.54855000,4.00699009,3.09010991,5691926.18480300,5691926.18480300
2020-08-15,3.41810000,3.74000000,3.15000000,3.17300000,3658005.62220200,-0.23690000,-6.94741781,17.26105146,3.47344000,3.47344000,3.47344000,3.47344000,3.47344000,3.47344000,3.47344000,3.47344000,3.47344000,3.47344000,3.47344000,3.47344000,3.44922349,3.46329324,-0.01406975,0.00003060,-0.01410035,33.66046229,38.95390775,41.50011811,47.65444989,55.44903708,32.06527550,3.47344000,3.99349359,2.95338641,5285142.07228280,5285142.07228280
2020-08-16,3.17300000,3.49070000,3.12000000,3.38850000,2227715.62781000,0.21550000,6.79167980,11.68294989,3.49144000,3.45928333,3.45928333,3.45928333,3.45928333,3.45928333,3.45928333,3.45928333,3.45928333,3.45928333,3.45928333,3.45928333,3.43446449,3.44831275,-0.01384826,-0.00373134,-0.01011692,50.08013612,51.55021401,52.51099895,45.79876197,52.23227871,32.93172849,3.45928333,3.92957522,2.98899145,4742855.41022340,4775570.99820400
2020-08-17,3.38850000,3.39520000,3.10000000,3.11000000,2355329.78763000,-0.27850000,-8.21897595,8.71181939,3.36228000,3.40938571,3.40938571,3.40938571,3.40938571,3.40938571,3.40938571,3.40938571,3.40938571,3.40938571,3.40938571,3.40938571,3.36206137,3.38814558,-0.02608421,-0.00938826,-0.01669595,36.18922948,39.93337761,41.88076134,37.39525308,47.28660350,17.61255223,3.40938571,3.91339531,2.90537612,3978690.62282180,4429822.25383629
2020-08-18,3.11000000,3.70920000,2.81050000,3.34070000,8885306.13322400,0.23070000,7.41800643,28.89710611,3.28442000,3.40080000,3.40080000,3.40080000,3.40080000,3.40080000,3.40080000,3.40080000,3.40080000,3.40080000,3.40080000,3.40080000,3.35760358,3.38050092,-0.02289734,-0.01263474,-0.01026260,49.98059463,50.09595966,50.53614720,38.23639770,44.26986823,26.16945663,3.40080000,3.86994300,2.93165700,4466438.25336860,4986757.73875975
2020-08-19,3.33400000,3.49000000,2.80000000,2.88680000,4380403.48882400,-0.45390000,-13.58697279,20.69586083,3.17980000,3.34368889,3.34368889,3.34368889,3.34368889,3.34368889,3.34368889,3.34368889,3.34368889,3.34368889,3.34368889,3.34368889,3.26446188,3.30732361,-0.04286173,-0.01961733,-0.02324440,33.09363216,36.75046128,38.70285656,27.65223256,38.73065634,5.49538501,3.34368889,3.90046865,2.78690913,4301352.13193800,4919385.04432244
2020-08-20,2.89620000,3.44500000,2.88710000,3.20380000,4078240.33148200,0.31700000,10.98101704,19.26317243,3.18596000,3.32970000,3.32970000,3.32970000,3.32970000,3.32970000,3.32970000,3.32970000,3.32970000,3.32970000,3.32970000,3.32970000,3.25296647,3.29303836,-0.04007188,-0.02420033,-0.01587155,47.85808673,47.42193370,47.63801029,28.48935222,35.31688830,14.83428007,3.32970000,3.86204050,2.79735950,4385399.07379400,4835270.57303840
2020-08-21,3.20380000,3.24000000,2.89000000,2.93170000,3480342.67494000,-0.27210000,-8.49303952,10.92452712,3.09460000,3.29302000,3.29351818,3.29351818,3.29351818,3.29351818,3.29351818,3.29351818,3.29351818,3.29351818,3.29351818,3.29351818,3.19418246,3.24617266,-0.05199020,-0.03028060,-0.02170960,38.99459417,40.95199858,42.13660076,22.27220230,30.96865964,4.87928762,3.29351818,3.85266863,2.73436773,4635924.48322000,4689389.94672170
