date,open,high,low,close,volume,change,pct_chg,amplitude,close_5_sma,close_10_sma,close_15_sma,close_20_sma,close_25_sma,close_30_sma,close_35_sma,close_40_sma,close_45_sma,close_50_sma,close_60_sma,close_200_sma,close_12_ema,close_26_ema,macd,macds,macdh,rsi_6,rsi_12,rsi_24,kdjk,kdjd,kdjj,boll,boll_ub,boll_lb,volume_5_sma,volume_10_sma
2018-05-04,0.50000000,1.50000000,0.50000000,0.88990000,18946724.69447550,,,200.00000000,0.88990000,0.88990000,0.88990000,0.88990000,0.88990000,0.88990000,0.88990000,0.88990000,0.88990000,0.88990000,0.88990000,0.88990000,0.88990000,0.88990000,0.00000000,0.00000000,0.00000000,,,,46.33000000,48.77666667,41.43666667,0.88990000,,,18946724.69447550,18946724.69447550
2018-05-05,0.88980000,0.93500000,0.88800000,0.90280000,15282000.07779090,0.01290000,1.44960108,5.28208586,0.89635000,0.89635000,0.89635000,0.89635000,0.89635000,0.89635000,0.89635000,0.89635000,0.89635000,0.89635000,0.89635000,0.89635000,0.89688750,0.89659808,0.00028942,0.00016079,0.00012863,100.00000000,100.00000000,100.00000000,44.31333333,47.28888889,38.36222222,0.89635000,0.91459335,0.87810665,17114362.38613320,17114362.38613320
2018-05-06,0.90280000,0.91800000,0.83774000,0.86483000,13997141.56381680,-0.03797000,-4.20580416,8.89011963,0.88584333,0.88584333,0.88584333,0.88584333,0.88584333,0.88584333,0.88584333,0.88584333,0.88584333,0.88584333,0.88584333,0.88584333,0.88437545,0.88518412,-0.00080866,-0.00023653,-0.00057214,22.06486043,23.74736419,24.56166493,41.70322222,45.42700000,34.25566667,0.88584333,0.92445797,0.84722869,16075288.77869440,16075288.77869440
2018-05-07,0.86482000,0.86886000,0.80000000,0.82490000,14192279.72923270,-0.03993000,-4.61709238,7.96235055,0.87060750,0.87060750,0.87060750,0.87060750,0.87060750,0.87060750,0.87060750,0.87060750,0.87060750,0.87060750,0.87060750,0.87060750,0.86560138,0.86833131,-0.00272994,-0.00108118,-0.00164876,11.12421872,12.66670237,13.43770639,38.63214815,43.16204938,29.57234568,0.87060750,0.93922346,0.80199154,15604536.51632898,15604536.51632898
2018-05-08,0.82490000,0.84802000,0.79200000,0.80667000,10571844.13062480,-0.01823000,-2.20996484,6.79112620,0.85782000,0.85782000,0.85782000,0.85782000,0.85782000,0.85782000,0.85782000,0.85782000,0.85782000,0.85782000,0.85782000,0.85782000,0.84958993,0.85403180,-0.00444187,-0.00208091,-0.00236096,8.74785983,10.27812148,11.05292061,35.97709877,40.76706584,26.39716461,0.85782000,0.94029130,0.77534870,14597998.03918814,14597998.03918814
2018-05-09,0.80667000,0.81894000,0.75690000,0.79481000,11014807.23993190,-0.01186000,-1.47024186,7.69087731,0.83880200,0.84731833,0.84731833,0.84731833,0.84731833,0.84731833,0.84731833,0.84731833,0.84731833,0.84731833,0.84731833,0.84731833,0.83627553,0.84217014,-0.00589462,-0.00311464,-0.00277998,7.49749200,9.06493475,9.86447422,33.81173251,38.44862140,24.53795473,0.84731833,0.93725193,0.75738473,13011614.54827942,14000799.57264543
2018-05-10,0.79481000,0.80572000,0.74085000,0.74558000,7949198.40925800,-0.04923000,-6.19393314,8.16169902,0.80735800,0.83278429,0.83278429,0.83278429,0.83278429,0.83278429,0.83278429,0.83278429,0.83278429,0.83278429,0.83278429,0.83278429,0.81603714,0.82499209,-0.00895495,-0.00459266,-0.00436229,4.37945009,5.90741965,6.73009130,30.72715501,35.87479927,20.43186648,0.83278429,0.94527750,0.72029107,11545054.21457284,13136285.12073294
2018-05-11,0.74920000,0.75602000,0.64758000,0.67610000,21611338.04985610,-0.06948000,-9.31891950,14.47410571,0.76961200,0.81319875,0.81319875,0.81319875,0.81319875,0.81319875,0.81319875,0.81319875,0.81319875,0.81319875,0.81319875,0.81319875,0.78683441,0.80100188,-0.01416747,-0.00689367,-0.00727380,2.56959981,3.84525161,4.58471381,26.35477000,32.70145618,13.66139765,0.81319875,0.96525758,0.66113992,13067893.51178070,14195666.73687334
2018-05-12,0.67376000,0.71000000,0.62519000,0.68522000,12223888.83791420,0.00912000,1.34891288,12.58756827,0.74167600,0.79897889,0.79897889,0.79897889,0.79897889,0.79897889,0.79897889,0.79897889,0.79897889,0.79897889,0.79897889,0.79897889,0.76673147,0.78384047,-0.01710900,-0.00925346,-0.00785554,8.52410927,8.42284251,8.57642753,23.74384667,29.71558634,11.80036732,0.79897889,0.96484333,0.63311445,12674215.33351700,13976580.30365566
2018-05-13,0.68192000,0.75010000,0.66456000,0.72999000,12503150.51969370,0.04477000,6.53366802,12.54399343,0.72634000,0.79208000,0.79208000,0.79208000,0.79208000,0.79208000,0.79208000,0.79208000,0.79208000,0.79208000,0.79208000,0.79208000,0.75976897,0.77640963,-0.01664065,-0.01090862,-0.00573203,32.73923825,27.02697445,24.71072947,27.10495925,28.84537731,23.62412312,0.79208000,0.95443153,0.62972847,13060476.61133078,13829237.32525946
2018-05-14,0.72999000,0.74990000,0.68585000,0.72694000,15661876.54378690,-0.00305000,-0.41781394,8.77409280,0.71276600,0.77578400,0.78615818,0.78615818,0.78615818,0.78615818,0.78615818,0.78615818,0.78615818,0.78615818,0.78615818,0.78615818,0.75376206,0.76999340,-0.01623134,-0.01207320,-0.00415814,32.04574146,26.62498657,24.40456192,29.65313825,29.11463096,30.73015284,0.78615818,0.94510851,0.62720785,13989890.47210178,13500752.51019060
2018-05-15,0.72695000,0.74892000,0.68010000,0.68900000,9315740.47292290,-0.03794000,-5.21913776,9.46695096,0.70145000,0.75440400,0.77806167,0.77806167,0.77806167,0.77806167,0.77806167,0.77806167,0.77806167,0.77806167,0.77806167,0.77806167,0.74224758,0.76004208,-0.01779451,-0.01330190,-0.00449261,24.34726480,22.15356861,21.02345721,28.49777759,28.90901317,27.67530643,0.77806167,0.93966284,0.61646049,14263198.88483476,12904126.54970380
